"notes","term","priref"
"Settlement areas characterized by country life or agriculture.","countryside","95031"
"All property or resources that have monetary or exchangeable value or economic utility.","wealth","95032"
"General term used to group concepts revolving around human conventions and social practices.","custom (social concept)","95033"
"The process or state of sinking to a weaker or inferior condition, a gradual loss of power, decay, diminution, or deterioration of a state, person, corporate body, etc.","decline","95034"
"The reception and accommodation of guests, visitors, or strangers in a generous and welcoming manner.","hospitality","95035"
"Buildings that housed places of confinement and labor for paupers, vagrants, and the disabled or elderly poor from the 17th through 19th century in Europe and America. For buildings housing similar institutions intended to provide punishment and reformation of the criminal, use ""houses of correction (buildings)."" For welfare buildings providing charitable care for the poor, use ""almshouses (buildings).""","workhouse","95036"
"Used to refer to a substance in the liquid state. The liquid state is the state of matter in which a substance exhibits a characteristic readiness to flow; little or no tendency to disperse; and relatively high incompressibility.","liquid","95037"
"The total number of individuals of a given species or other class of organism in a defined area.","population","95087"
"Collective term for any body of troops stationed in a particular location, originally to guard it, but now often simply using it as a home base.","garrison","95088"
"","Cold War","95292"
"The action or ceremony of clothing in the insignia of an office, or other ceremonial, official, or formal investing of a person with an office or rank, including the formal putting a person in possession of a fief or benefice.","investiture","95348"
"Watches meant to be carried in pockets, as opposed, for example to be worn on the wrist or carried on chains.","pocket watch","95381"
"Conventionalized figures derived from astronomical stars, having radiating points of any number.","star (motif)","95433"
"","five-pointed star (motif)","95434"
"Strong, pale yellow-brown wood from trees of the genus Betula, having a close, straight grain and uniform texture that finishes to a smooth surface. It is sometimes dyed to imitate mahogany. Birch is used for tools handles, plywood, hoops, shoe heels, flooring, furniture, cabinetry, turnery, and firewood. The bark is also used for various purposes.","birch (wood)","95439"
"","lagomorphs (guide term)","95448"
"competition","rivalry","95449"
"Gliders in which the pilot controls altitude and glide path by shifting position in a suspended seat or harness; originally developed in the 1890s and, since the 1960s, ultralight aircraft with flexible wing surfaces.","hang glider","95451"
"Intimate sexual contact between two individuals involving penetration.","sexual intercourse","95452"
"The periodic variations in the surface level of the oceans and its associated bodies of water, caused by gravitational attraction of the moon and sun.","tide","95453"
"Self-propelled, nonrevenue rail vehicles designed to convert electrical or mechanical energy into tractive effort to haul railway cars.","locomotive","95454"
"","mudflat","95455"
"Excrement of animals, rarely of humans, particularly when used to fertilize the soil or, when dried, as a building material.","mest","95487"
"Pure metallic element having symbol Ti and atomic number 22; a hard, lustrous, silvery metal. Use also for this metal as processed and formed, usually in combination with other substances, to make various objects and materials.","titanium","95488"
"","petroleum","95490"
"Plane curves that generally wind around a point while moving ever farther from the point. Many kinds of spiral are known, including the ancient Greek Archimedean spiral, described in On Spirals (ca. 225 BCE), and the logarithmic or equiangular spiral first described by René Descartes in 1638. The curves are observed in nature, and humans have used them in machines and in ornament, notably architecture, for example, the whorl in an Ionic capital. Prefer ""scrolls (motifs)"" or ""scrollwork"" for more complex forms.","spiral (geometric figure)","95493"
"A dark purplish-red rock, first quarried in ancient Egypt, containing relatively large crystals in a fine-grained igneous matrix. One of the hardest rocks, it takes a high polish and is valued as a durable sculptor's material and as a decorative architectural material. It is considered the best material for the muller and slab used for grinding artists' colors.","porphyry","95537"
"A decorative motif in the form of a stylized iris or lily, usually with three curled petals, but occasionally with five, one of which forms the central axis to the symmetrical design. The design is based on an iris, which was equated with the lily and had the same symbolic references as the lily; it probably developed from the honeysuckle design motif.","fleur-de-lis (motif)","95554"
"","oor (animal component)","95566"
"","x-radiography","95567"
"","ultraviolet light studies","95568"
"Technique using film sensitive to both some visible light waves and to wavelengths generated by the infrared segment of the electromagnetic spectum.","infrared photography","95571"
"African-American art movement during the 1960-1970s","Black Arts movement","95674"
"Refers to a British and American movement influencing fine and decorative art and architecture in the 1870s and 1880s. Following the philosophy of ""art for art's sake"", the Aesthetic Movement stressed beauty and the autonomous value of art over didactic purpose, narrative content, or significant subject matter.","Aesthetic Movement","95710"
"Early modern naval authority","admiralty","95722"
"Early modern medical lecture theater","anatomical theater","95723"
"A commercial term for any of several fibrous magnesium silicate minerals readily separable into thin, strong fiber that is flexible, noncombustible, heat resistant, and chemically inert; used in a wide variety of industrial products. It was used by the ancient Greeks, Egyptians, and Chinese as a fireproof material. In the 19th and early 20th centuries, asbestos was used for fireproofing and insulating houses: small asbestos fibers were mixed with binders and compressed into boards, paper, pipe covering, ironing board covers, shingles, tiles, and sprayed onto ceilings. Long asbestos fibers were woven into fabrics for used in brake linings, heat-resistant shields, gloves, and fireproof garments and blankets. Health concerns have limited the use of asbestos since the early 1960s. In the U.S., it was declared a hazardous material in 1986.","asbestos","95724"
"Doctrine that there is neither God nor any other deity.","atheism","95726"
"The state of being under a legal process because of insolvency, or otherwise unable to pay debts.","bankruptcy","95727"
"The use of children as a labor force in industry or business. Now widely considered inhumane, it has been rendered illegal in most developed countries, though it was common until the early 20th century.","child labour","95728"
"Expertise, study, or knowledge in matters of taste and discrimination, particularly in relation to art, art objects, wines, or other delicacies.","connoisseurship","95729"
"Acts of bringing of a person from lack of belief or another belief over to a specified religious faith, profession, or party.","conversion (activity)","95730"
"Smoothly fitted undergarments extending from or below the bust down to the waist or below, stiffened by strips of steel or whalebone, or with casing for a busk, sometimes limbered by elastic goring, sometimes tightened by lacing, and fastened by hooks. It is usually worn by women for support and molding of the figure including the ribcage and possibly the hips.","corset","95731"
"People whose work involves transmitting messages and parcels or performing errands.","messenger","95732"
"Subterranean rooms or entire stories in churches, often serving as places of burial.","crypt","95733"
"","dam","95734"
"Obligation in which one party owes the other money in the context of a deferred payment.","debt","95735"
"Religious and philosophical system of the Druids, who were members of the learned priestly class among the ancient Celts. Frequented oak forests and acted as priests, teachers, and judges.","druidism","95736"
"A compound -- generally a complex organic material that dissolves or is suspended in a liquid -- that absorbs into and colors another material. Distinguished from a pigment, which is insoluble in the vehicle, but instead is held in a suspension.","dye","95737"
"Early developmental stadium in animals and plants","embryo","95738"
"Refrainment from eating, drinking, or both, sometimes done for religious reasons","fasting","95739"
"Prenatal animal between the embryonic state and birth","fetus","95740"
"Financial penalty for a crime","fine (penalty)","95741"
"Material comprising the finer portion of grain meal, whether from wheat or another grain, that is separated by bolting.","flour","95742"
"A sour liquid consisting of dilute and impure acetic acid, obtained by acetous fermentation from wine, beer, cider or ale, and used as a condiment or preservative.","vinegar","95743"
"The activity of comprehending, analyzing, and expressing written or spoken material in a different language from the original.","translation (function)","95744"
"Jewish religious text.","Torah","95745"
"Practice of allowing, permitting or accepting a thing person or idea of which one disapproves","toleration (socialogical concept)","95746"
"Thick, viscous, brown or black, inflammable liquid residue resulting from the partial evaporation or distillation of wood (such as pine, fir, or larch), sugar, tobacco, peat, coal, or other organic substance. It contains hydrocarbons, resins, alcohols, and other compounds; it has a heavy resinous or bituminous odor. It is used as an antiseptic, for coating asphalt roads, preserving timber, caulk on wooden sailing ships, waterproofing for roofing papers, insecticide, in disinfectant soaps. Some tars, such as those obtained from pine or beech wood, have been mixed with linseed oil to form a dark brown glaze and for other purposes.","tar","95748"
"Medieval right accorded to certain port cities, according to which merchants had to store and display their goods for sale for a certain period of time","staple right","95749"
"Social transformation resulting in a reduced identification with religious values and institutions","secularization","95750"
"Quadrants are used to measure the angles of celestial bodies from their zeniths.","astronomical quadrant","95751"
"The amount of money or a material equivalent expected, required, or given in payment for a commodity or service.","price","95752"
"A potassium carbonate in the form of a white alkaline granular powder. It is used in glass manufacture, soft soap, and wool washing.","potash","95753"
"The introduction of or condition of having harmful or otherwise undesirable substances or products in the environment; for the substances themselves use ""pollutants.""","environmental pollution","95754"
"Shelters or hospitals for those infected with a pestilential or contagious disease.","pesthouse","95755"
"An unconsolidated deposit of semicarbonized plant remains formed in a water-saturated environment such as a bog.","peat","95756"
"A very strong, controlling, or overpowering emotion or impulse, particularly lust, other desire, hate, or fear.","passion (emotion)","95757"
"","killer whale","95758"
"Pungent yellow powder of the seeds of any of several common mustard plants, used as a condiment, dye, or in medicine as a stimulant and diuretic, an emetic, or a counterirritant.","mustard (food)","95759"
"Public buildings, with seating for an audience, emphasizing musical and variety entertainment but also serving drinks.","concert hall","95760"
"Refers the bodies of human beings, or sometimes of animals, that have been embalmed, naturally preserved, or treated for burial with preservatives. Among the many peoples who practiced mummification were the people living along the Torres Strait between Papua New Guinea and Australia, the Incas of South America, and the Chinese. Prominent examples were created by the ancient Egyptians. The process varied from age to age in Egypt, but it always involved removing the internal organs (though in a late period they were replaced after treatment), treating the body with resin, and wrapping it in linen bandages.","mummy","95761"
"Stones, slabs, or pillars of any material, set by the side of a road to mark distances between one point and another; most often distances between cities. The term ""milestones"" does not necessarily refer only to the unit of measurement called a ""mile""; it may be used to describe objects that denote measures of the kilometer or other units.","milestone","95762"
"Formal letters recommending a person as worthy or suitable or merely as introduction.","letter of recommendation","95763"
"Early modern school type in Europe","Latin school","95764"
"Rooms, buildings, or groups of buildings equipped with apparatus for scientific experiments or other research, testing, and investigations.","laboratory","95765"
"A conserved food substance made by boiling fruit and sugar to a thick consistency.","jam","95766"
"Sexual activity between family members or close relatives","incest","95767"
"Intimate mixture of saltpeter, sulfur, and charcoal, used as a blasting, priming, and propellant explosive.","gunpowder","95768"
"Branch of mathematics dealing with the measurement, relationships and properties of points, lines, curves, angles, surfaces, and solid figures.","geometry","95769"
"Those whose occupation is to grind and smooth glass.","glass grinder (glass worker)","95770"
"Refers to artificially constructed garden features, common since the 16th century in French and English landscapes. A grotto is characterized by being an excavation or structure made to imitate a rocky cave, often adorned with shell-work, colorful stones, etc., and serving as a place of recreation or a cool retreat. For natural features, use ""caves"" or ""caverns.""","grotto (garden structure)","95771"
"Weather condition with air temperature below freezing","frost (meteorological)","95772"
"","foreigners in Portugal","95791"
"heraldic charge","carbuncle (motif)","95906"
"Simple geometric forms composed of Vs used singly, in a vertical series, or in a string to form a zigzag.","chevron (motif)","95907"
"Heraldic charge.","inescutcheon (motif)","95908"
"letter in the Greek alphabet","omega (letter)","95909"
"Heraldic charge.","fess (motif)","95910"
"","chin","95912"
"Marks created during the manufacturing of threedimensional objects","manufacturing mark","95914"
"","three triangular holes","95915"
"","three rectangular holes","95916"
"","triangular hole","95917"
"","two triangular holes","95918"
"","semi-circular indentation","95919"
"","rectangular hole","95920"
"","two rectangular holes","95921"
"","series of triangular holes in line","95922"
"","series of rectangular holes in line","95923"
"","series of round holes in line","95924"
"","round hole","95925"
"","two round holes","95926"
"Colorless-to-white crystalline potassium aluminum sulfate; has a wide range of uses, including in treatment of leather and textile, in sizing paper, as a mordant in dyeing, and as a water-purifying agent.","alum","95938"
"A vegetable juice, red in its natural state, used in the Middle Ages as a coloring; probably obtained from the turnsole plant.","folium","95939"
"General term used to refer to dense, compact dyewood from several (but not all) species of the Caesalpinia genus used in violins, bows, veneer, cabinetwork, and high quality furniture. It accepts a high polish. The wood contains the colorant brasilin, a hydroxyanthraquinone, that gives a deep red to brownish color.","brazilwood (wood)","95940"
"Calciumoxide dat in overvloed voorkomt in de natuur.","calcium oxide","95941"
"Lime prepared by calcining limestone in a kiln at about 500 C to form a white amorphous powder that may contain small amounts of silica, iron, magnesium, and/or aluminum oxides. Oyster shells have been used to make a very pure quicklime. Once water is added, quicklime becomes slaked lime.","quicklime","95942"
"Clear amber liquid (mammals, aquatic species) or grayish semisolid (birds, reptiles) excretion of metabolic waste from vertebrates. In mammals, urine is formed in the kidneys. It is a collection of water-soluble by-products of protein metabolism (urea, creatinine, uric acid, ammonia, etc.) mixed with salts and pigments. Urine has been used in cleaning, dyeing, and tanning.","urine","95943"
"The volatilization or evaporation and subsequent condensation of a liquid, as when water is boiled and the steam is condensed, for such purposes as purification, concentration, or separation of substances.","distilling","95944"
"Making free or nearly free of liquids. For the removal or deprivation of water, though other liquids may remain, use ""dehydration.""","drying","95945"
"Pure metallic element having symbol Hg and atomic number 80; a lustrous silvery metal that is liquid at ordinary temperatures. Use also for this metal as processed and formed, usually in combination with other substances, to make various objects and materials.","mercury","95946"
"Wax produced by many species of bees, containing around 10% hydrocarbons in addition to alcohols, fatty acids, and esters, with the primary component myricyl palmitate. The wax most commonly used by humans is from Apis mellifera. Beeswax is secreted by the worker bees to form honeycomb cells. The wax is prepared by melting the combs in hot water, then filtering out the resins, sugars, plant materials, and other impurities. The age, diet, location, and species of bee affects the color and texture of the wax. Beeswaxes can be soft or brittle with colors ranging from light yellow to dark brown. The darker varieties are often bleached by exposure to light and air or with chemicals. Beeswax has been used as a protective coating, in etching, for candles, adhesives, paint binder, polish, in encaustic, leather dressing, cosmetics, and to modify paint.","beeswax","95947"
"Process of rubbing a surface to make it smooth or shiny.","polishing","95948"
"Refers to the process of combining together separate constituents to form one cohesive substance or mass.","mixing","95949"
"Examining and measuring critically the qualities or abilities of something or someone, often with reference to established standards.","testing","95950"
"Process of adding heat in order to raise the temperature.","heating (physicochemical process)","95951"
"Substance which is part of some product","ingredient","95967"
"Restoring to a whole by replacing a part or putting together what is torn or broken, or otherwise restoring to sound condition.","repairing","95969"
"White pigment consisting chiefly or wholly of titanium dioxide.","titanium white","95970"
"Geel pigment, van historisch belang in de olieverfschilderkunst","lead-tin yellow (pigment)","95972"
"A soft, yellow mineral composed of arsenic trisulfide that occurs naturally in volcanic fumaroles, hydrothermal veins, hot springs, and as a decomposition product of realgar. It changes to a red crystalline form at 170 C. Orpiment was used from ancient times as a pigment in painting, in manuscript illumination, and polychrome sculpture, having good tinting strength, but not permanent and toxic. King's yellow is the synthetic counterpart.","orpiment (pigment)","95974"
"Pigment composed of basic copper acetate and having a dark bluish-green color. Verdigris has been manufactured since ancient times by placing copper plates over vats of fermenting grape skins; the acetic acid quickly reacts to form basic copper acetate. When used directly as a pigment, it discolors from green to black in oil paints, fades in watercolor paints, and reacts with a paper support. It is used to make copper resinate, as a drier for linseed oil, to dye fabrics, and as a colorant and fungicide in antifouling paints.","verdigris","95975"
"Pigments of various compositions, having in common that they are all made from green colored siliceous, iron-rich clays that have been used as pigments since ancient times, ground from available minerals, including celadonite, glauconite, cronstedtite, montmorillonite, and chlorite, among others. The color of green earth pigment can range from yellow-green to sea-green to greenish-gray, is translucent in oils, having moderate tinting strength and poor hiding power. It is a permanent, stable pigment that is compatible with all media. Green earth is sometimes imitated by mixtures of Naples yellow and Prussian blue.","green earth (pigment)","95976"
"A synthetic permanent green pigment composed of hydrated chromium oxide with characteristic deep green, transparent particles that are unaffected by light and chemicals. Processes for making the pigment were developed in 1838 by Pannetier in Paris and Guignet in 1859. It has been used as a pigment in all types of binding media, and as a colorant in concrete mixtures, rubber, inks, and automotive paints.","viridian (pigment)","95977"
"An obsolete lake pigment made by adding an alkali (soda or lime) to the purple red juice of ripe buckthorn berries, creating a dark, yellowish green colorant that was then mixed with alum and gum to form a thick syrup that was placed in pig bladders, hence received the name bladder green. Sap green was used in watercolor paints in the 17th and 18th centuries. The primary colorants may be kaempferol, rhamnetin, or quercetin, depending upon the variety of buckberry used.","sap green","95978"
"Natural dyestuff used to test the acidity of chemical solutions; also used as a textile dye, wood stain, and food colorant.","litmus (vegetable dye)","95979"
"Blue dye and pigment made from the mineral azurite, a deep blue mineral composed of basic copper carbonate that is naturally found adjacent to the green copper carbonate mineral malachite. Azurite is prepared as a pigment by careful selection, grinding, washing, and levigation, with the coarsely ground azurite giving a deeper blue color and finely ground particles giving a lighter more transparent tone. Azurite is lightfast but is sensitive to acids and sulfur fumes; it is used for paints and dying luxury fabrics.","azurite (pigment)","95980"
"Variable yellowish colors resembling the color of massicot, a pigment made of lead monoxide.","massicot yellow (color)","95981"
"Variable red colors resembling the color of the mineral minium, which is composed of lead tetroxide.","minium (color)","95982"
"The solid, brittle, clear resinous residue left after the distillation of turpentine from balsam, having a color ranging from yellow or reddish-brown. It becomes sticky when warm and has a faint pine-like odor. Primarily composed of abietic acid (about 80%), rosin reacts in hot alkaline solutions to form rosin soaps. Rosin weathers poorly, becoming oxidized and brittle with age. It also has poor moisture resistance. Although many of its aging properties are undesirable, rosin is or was used as an ingredient in paints, varnishes, inks, adhesives, sealing wax, soldering fluxes, sizing paper, and linoleum. Because it increases sliding friction, it is commonly used for coating bows of some stringed instruments, and as a slip preventative on the floors of stages and shoes of dancers. The inexpensive resin is also used for sizing paper.","rosin","95983"
"Systematic use of terror, violence, and intimidation against people, usually civilians, or property to create a general climate of fear in a population. The purpose of terrorism is typically to bring about a particular political or social objective.","terrorism","95985"
"A pale yellow natural resin from the Callitris genus that is native to Australia and from the species Tetraclinis articulata that native to northern Africa. Although sometimes called ""gum juniper,"" sandarac is not derived from true junipers of genus Juniperus (see ""juniper resin""). Drops of resin, ""sandarac tears,"" are hard and brittle with a white powdery surface due to oxidation, the substance forms a clear, hard film that becomes darker and redder with age. Sandarac spirit varnishes dry quickly and have been used for retouching, making protective and decorative coatings, and as an artists' paint vehicle.","sandarac (resin)","95994"
"General term for a variety of hard, natural resins obtained directly from various tropical trees of the genera Hymenaea and Agathis. Copal is a characterized as a hard, translucent odoriferous resinous substance in an intermediate stage of polymerization and hardening between gummy resins and amber. Copals contain communic acids, communol, resene, and volatile oil. They range in color from colorless to a bright yellow-brown. The term was first applied to the substance obtained from Mexico; but copal is now procured also from Brazil, the West Indies, West Africa, Mozambique and Zanzibar, Madagascar, India, Manila, New Caledonia, and New Zealand. Copal from East Africa is most highly valued, particularly the partially fossilized varieties. Copal is used as incense, flavoring, medicines, and in making varnish, lacquer, adhesive, and coatings.","copal","95995"
"Gum exudation of small evergreens native to the Mediterranean countries, soluble in both alcohol and turpentine; used for artists' paint and coating lacquer. Mastic varnish becomes yellow and brittle with age. Mastic was used in 16th and 17th century recipes for oil-resin varnishes; in the 19th century, mastic was a popular clear, glossy spirit varnish for oil paintings and was also used as an additive in oil medium. By the 20th century, its use was superseded by dammar.","mastic (resin)","95996"
"A coarsely ground blue potassium glass containing small amounts of cobalt oxide, which provides the source of the blue color. It is used as a blue colorant in paints, glazes, glass, bluing paper, laundry blue, starch, textiles, and rubber. Although it was intended as a substitute in painting for natural ultramarine blue, which was very expensive, it was discovered that smalt blue discolors when placed in an oil-based medium.","smalt (pigment)","95997"
"A natural brown clay earth pigment that contains iron and manganese oxides, silica, alumina, and lime; tending to be less orange-red than sienna. The term refers to the region of Umbria, Italy, although the pigment is found elsewhere in the world, notably on Cyprus. It has been used as a pigment since prehistoric times.","umber (pigment)","95998"
"A naturally occurring dark brown earth pigment containing organic humus, peat, or coal material mixed with iron oxides, alumina and silica. When ignited, the pigment leaves a soft gray residue. The colorant is fugitive and fades on exposure to strong light. The pigment was first used in the 17th century; early sources were from the Cologne and Kassel regions of Germany, thus the alternate pigment names. The brown earth has since been obtained from various localities each of which may differ slightly in color and composition. To add to this confusion some pigments labeled ""Van Dyck brown"" were bituminous while others were synthetically made from from carbon black and iron oxide mixtures. For these synthetic mixtures, use ""synthetic Van Dyck brown.""","Van Dyck brown (pigment)","95999"
"Material made of intensely black, finely divided forms of amorphous carbon, usually obtained as soot from partial combustion of hydrocarbons. It is used to produce extremely black pigments of high hiding power in printing ink, paint, and carbon paper, as reinforcing agents in rubber products, and to create protective coatings, plastics, and resistors for electronic circuits. Carbon black particles are usually spherical in shape and less regularly crystalline than graphite. Carbon black changes into graphite if heated at 3,000 degrees Celsius for a prolonged period. Among the most finely divided materials known, carbon blacks vary widely in particle size and color intensity depending upon the process by which they are made.","carbon black","96000"
"Een oppervlak met de hand of machinaal glad maken met behulp van schuurpapier of een schuurdoek.","sanding (abrasion)","96012"
"The dark, brownish-black bituminous resin that is found in natural deposits or is produced as a byproduct of oil refineries. It has consistencies varying from viscous liquid to glassy solid. It is composed of aliphatic, alicyclic, and polycyclic aromatic hydrocarbons. It is soluble in oils and waxes and can act as a plasticizer or a strengthener, depending on the hardness of the variety. Natural asphalt, which is believed to have been formed during an early stage in the breakdown of organic marine deposits into petroleum, characteristically contains minerals, while residual petroleum asphalt does not. Asphalt has been used since the 3rd millennium BCE for waterproofing; it is also used for road paving, roof coating, joint sealing, and a waterproof barrier in sandy soils. Ancient sources for asphalt were Egypt, the north end of the Dead Sea, the Is river northwest of Babylon, and the Greek island of Zante.","asphalt (bituminous material)","96013"
"","stil de grain yellow (pigment)","96014"
"Any volatile liquid used for thinning or diluting paint and varnish.","thinner (solvent)","96015"
"Material, often a compound of lead, iron, manganese, or cobalt, used for increasing the rapidity of the drying of paint and varnish.","drier (additive)","96016"
"The black carbonaceous particulate substance formed by the incomplete combustion of coal, oil, wood, or other fuels.","soot","96017"
"Refers broadly to the activity of fashioning in wood. For the art of making fine furniture and intricate woodwork, see ""cabinetmaking."" See the narrower ""carpentry"" for constructing buildings and other structures with wood, including the installation of floors, windows, and other trim work.","woodworking","96018"
"Carbohydrate containing exudates obtained from some trees or shrubs belonging to the family Fabaceae of the pea order Fabales. Gum is insoluble in alcohol and either soluble or swellable in water. Some plant gums are used in the form of water solutions in the manufacture of cosmetics, pharmaceuticals, and foods; when the water evaporates, a film having a considerable adhesive character is formed. Some gums, such as gum arabic, dissolve in water to give clear solutions. Other gums, such as gum tragacanth, form mucilages by the absorption of large amounts of water. May be distinguished from ""resin"" in that gum hardens in drying, but is usually soluble in water.","gum (material)","96019"
"Translucent golden-colored resin composed of a yellow resinous component and a clear water-soluble gum, produced by several trees of the genus Garcinia native to India, Thailand, Cambodia, Vietnam, and Sri Lanka. Gamboge was used as a yellow pigment as early as the 8th century in Asia and Japan. It was regularly imported to Europe in the 17th century. It is marketed in the form of dull, brownish-yellow cakes or lumps that, when powdered, have a rich golden color. The carbohydrate gum acts as a natural binder. Gamboge is used as a transparent colorant in glazes, varnishes, and watercolors. The yellow color fades when exposed to light or ozone. In some cases it has recovered its color when placed in the dark.","gamboge","96020"
"A deep red natural colorant made from secretions of the larvae of the lac insect. Lac dye is a byproduct produced during the shellac purification process; its primary colorant is laccaic acid. It was an important dyestuff used since ancient times, giving a lightfast tint to silk and wool, similar in color to dyes obtained from cochineal and kermes. Now synthetic colorants have replaced the use of lac dye.","lac dye (colorant)","96022"
"A crystalline form of lead monoxide, the oxidized product of molten lead that has been stirred or atomized to incorporate air then cooled and ground to form the yellow powder. It is used as a drier in paint and varnish, for the fluxing of earthenware, and in the manufacture of glass. Litharge tends to be slightly more orange than massicot, another crystalline form of lead monoxide, due to the presence of small amounts of red lead oxide.","litharge","96023"
"A generic name for two closely related organic red lakes that are obtained from scale insects, cochineal and kermes. Neither pigment is permanent enough for use in fine art because they discolor in sunlight. They were replaced first by madder and alizarin, then later by synthetic organic red colors.","carmine (lake)","96028"
"","glass furnace","96065"
"Pure metallic element having symbol Sb and atomic number 51; a bright, hard, silvery to bluish white metal. Use also for this metal as processed and formed, usually in combination with other substances, to make various objects and materials, particularly alloys and pigments.","antimony","96066"
"A grayish-white element with symbol As and atomic number 33, having a metallic luster, vaporizing when heated, and forming poisonous compounds.","arsenic","96067"
"A white or colorless crystalline mineral composed of hydrated sodium borate, used as a flux, cleansing agent, tanning agent, water softener, preservative, fungicide, as an alkaline ingredient in glass, ceramics, and glazes, in soldering, and as a source of boron. Borax is produced by the evaporation of water in shallow lakes. Borax was used by the Egyptians for mummification, by the Romans for glassmaking, as a flux for soldering gold in 9th-century Arabia, in ceramic glazes in northern China in the 10th century, and in Venetian glass from the 13th century.","borax","96068"
"The metallic element having the symbol Co and atomic number 27; it is a hard, ductile, white metal, resembling nickel but with a bluish instead of a yellow tinge. Cobalt was first identified by Georg Brandt of Sweden in 1735. It has an abundance of 0.001-0.002% in the earth's crust and is found in the minerals smaltite, cobaltite, chloanthite, linnaetite, and erythrite. Metallic cobalt is added to alloys to increase hardness at high temperatures. It is also ferromagnetic. Cobalt oxides and salts are usually blue and they are used as pigments in paints, glass, and ceramic glazes","cobalt (mineral)","96069"
"The dark gray or black variety of chert.","flint (rock)","96070"
"Glass created by various techniques but characterized by being uniformly colored as opposed to having a painted surface.","colored glass","96071"
"A substance added to a solid to increase its fusibility.","flux","96072"
"A transparent white crystalline compound of the composition KNO3, used in the production of explosives, pyrotechnics, matches, rocket propellants, and fertilizers.","potassium nitrate","96073"
"Any caulking compound used to hold window glass in place.","glazier's putty","96074"
"A hard fat obtained from animals, especially sheep, goats, and cattle, containing the fatty acids oleic acid, palmitic acid, stearic acid, linoleic acid, and myristic acid. Tallow is used in leather dressing and in the manufacture of soaps, lubricants, candles, and food.","tallow","96075"
"An impure cobalt oxide created with mineral ore and sand, used to create smalt.","zaffer","96076"
"To change into glass or a glassy substance by heat and fusion; especially to produce, as in ceramics, close crystallization by high firing to make the substance nonporous.","vitrification","96077"
"Orthorhombic mineral of the native element sulfur, having symbol S and atomic number 16. It is found abundantly in volcanic regions, occurring as a brittle crystalline solid, widely distributed in combination with metals and other substances. It has been used as molten to create small objects and as a gap-filler, for bleaching wood pulp, straw, wool, silk, felt, and linen, for vulcanizing rubber, for making gunpowder, and in the manufacture of sulfa drugs, insecticides, plastic, enamels, and dyes.","sulfur (mineral)","96078"
"Type of glass made from the inclusion of uranium in the batch and yellowish-green or greenish yellow in color.","uranium glass","96079"
"Large class of electrolytic chemical substances that are capable of donating a hydrogen atom. Acids are classified as strong or weak depending on the concentration of hydrogen ion produced on ionization. Acids exhibit one or more of the following characteristics: has a sour or sharp taste; forms an aqueous solution with a pH of less than 7.0; turns litmus dye red; reacts with bases and some metals to form salts; or reacts with a metal carbonate to release carbon dioxide.","acid","96080"
"Any substance resulting from the combination of negative ions from acids and usually metal ions. For common table salt, or NaCl, use ""sodium chloride.""","salt (inorganic material)","96081"
"An anhydrous grayish-white, odorless, water-soluble powder, NA2CO3, usually obtained by the Solvay process and containing about 1 percent of impurities consisting of sulfates, chlorides, and bicarbonates. It is used in the manufacture of glass, ceramics, soaps, paper, petroleum products, as a cleanser, for bleaching, and in water treatment.","sodium carbonate","96082"
"Refers to a process of endothermic reaction in which thermal decomposition or a phase transition of a solid material without fusing is induced by heating it at temperatures below the melting point.","calcining","96083"
"Pure metallic element having symbol Sn and atomic number 50; a soft, pliable, silvery white metal. Use also for this metal as processed and formed, usually in combination with other substances, to make various objects and materials.","tin (metal)","96084"
"The process of shaping glass by blowing air through a blowpipe into a glob of molten glass and forming it with tongs and shears or by rolling it against a hard surface.","glassblowing","96088"
"Refers to the philosophy and religion based on the enlightenment and teachings of the Buddha Gautama in the early sixth century BCE in the northeastern region of modern India. Playing dominant roles in the art and culture of Southeast Asia and East Asia, this religion is based on the transcendence of human suffering and pain through the acceptance of the limitations of individuality, the surrender of worldly desires and cravings that cause disappointment and sorrow, and the deliverance from the impermanence of living and individual ego based on wealth, social position, or family through the process of enlightenment (nirvana). The religion also centers around 'anatman', or no-self, the idea that the self is in a state of action or a series of changing manifestations rather than in a state of fixed, metaphysical substance. The structure of the religion is based on the Triratna (""Three Jewels"" of Buddha), a tripartite schematic for living based on three elements: Buddha (the teacher), dharma (the teaching), and sangha (community).","Buddhism","96093"
"General term for the set of intellectual and philosophical tenets and highly diverse beliefs and practices that define the civilization, art, literature, society, and politics of the Indian subcontinent. Hinduism is not a common set of rigid beliefs , but varies significantly between different regions; it includes Shaivism, Vaishnavism, Srauta, and numerous other traditions. Among other practices and philosophies, Hinduism includes a wide spectrum of laws and prescriptions of ""daily morality"" based on karma, dharma, and societal norms. The highest divine powers are seen as complementary to one another and not exclusive. Hinduism does not have a particular founder or central authority. Hindu literature is rich and varied, with no one text considered uniquely authoritative. The Vedas, dating to the Vedic period (ca. 1200-500 BCE), are the earliest extant writings. Religious law books and epics such as the Ramayana and the Mahabharata have been and continue to be highly influential.","Hinduism","96094"
"Discriminatory attitudes and denial of rights, privileges, or choice because of race.","racism","96110"
